City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Cape Town,ZA,77.41,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
4,Nikolskoye,RU,82.29,clear sky,59.7035,30.7861,Tourist House - Sablino
5,Jamestown,US,70.18,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
6,Avarua,CK,75.25,few clouds,-21.2078,-159.775,Paradise Inn
7,Atuona,PF,77.32,few clouds,-9.8,-139.0333,Villa Enata
9,Saint George,US,85.35,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
17,Carangola,BR,84.65,clear sky,-20.7331,-42.0294,Hotel Fazenda Búfalos
19,Paris,FR,85.55,clear sky,48.8534,2.3488,Hôtel Britannique - Paris Centre
21,Trincomalee,LK,83.3,overcast clouds,8.5711,81.2335,Welcombe Hotel
23,Dovers,VC,81.57,clear sky,12.8833,-61.1833,Ocean Breeze
24,Derzhavinsk,KZ,79.77,clear sky,51.1,66.3167,Ooo.khim Baza
25,Tibati,CM,73.71,moderate rain,6.4667,12.6333,Tibati Hotel
28,Rikitea,PF,71.06,overcast clouds,-23.1203,-134.9692,People ThankYou
29,Ponta Do Sol,PT,84.7,clear sky,32.6667,-17.1,Hotel do Campo
33,Puerto Ayora,EC,70.56,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
38,Vaini,TO,73.56,few clouds,-21.2,-175.2,Keleti Beach Resort
39,Torbay,CA,75.88,scattered clouds,47.6666,-52.7314,Gallows Cove
40,Miles City,US,70.77,clear sky,46.4083,-105.8406,FairBridge Inn & Suites Miles City
41,Hilo,US,73.26,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
45,Port Elizabeth,ZA,79.11,clear sky,-33.918,25.5701,39 On Nile Guest House
49,Hasaki,JP,77.29,few clouds,35.7333,140.8333,Hotel Sunrise Choshi
51,Butaritari,KI,82.54,moderate rain,3.0707,172.7902,Isles Sunset Lodge
52,Souillac,MU,73.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
53,Galle,LK,79.93,scattered clouds,6.0367,80.217,Amangalla
54,Toccoa,US,76.64,light rain,34.5773,-83.3324,Quality Inn
55,Port-Gentil,GA,75.51,few clouds,-0.7193,8.7815,Fengshui Residence
57,Erenhot,CN,81.54,clear sky,43.6475,111.9767,Erenhot Rurouni Youth Hostel
61,Kapaa,US,79.12,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
62,Gorontalo,ID,76.15,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
65,Great Falls,US,71.94,clear sky,47.5002,-111.3008,La Quinta Inn & Suites by Wyndham Great Falls
66,Kahului,US,75.85,clear sky,20.8947,-156.47,Maui Seaside Hotel
69,Akyab,MM,82.56,overcast clouds,20.15,92.9,Hotel Memory
71,Vao,NC,70.16,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
76,Lasa,IT,82.31,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
77,Bhimunipatnam,IN,83.71,scattered clouds,17.8833,83.4333,Bheemili Court
89,Sao Joao Da Barra,BR,77.36,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
92,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
96,Banda Aceh,ID,79.68,overcast clouds,5.5577,95.3222,Sulthan Hotel International
98,Mogadishu,SO,78.31,few clouds,2.0371,45.3438,Hotel Juba
100,Tirano,IT,85.17,broken clouds,46.2154,10.1679,Hotel Corona Tirano
102,Bengkulu,ID,77.81,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
103,Ribeira Grande,PT,73.8,few clouds,38.5167,-28.7,Quinta da Meia Eira
106,Lipany,SK,84.47,broken clouds,49.1538,20.9638,Kaštieľ Rožkovany
109,Sao Filipe,CV,74.57,scattered clouds,14.8961,-24.4956,Hotel Xaguate
110,Qui Nhon,VN,83.26,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
111,Hamilton,US,74.64,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
112,Palmer,US,74.14,overcast clouds,42.1584,-72.3287,Wedgewood Motel
113,Praya,CV,84.74,clear sky,14.9215,-23.5087,LT Aparthotel
114,Inirida,CO,71.82,light rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
115,Sungairaya,ID,80.11,broken clouds,0.7,108.9,Mess P.Milu
118,Hithadhoo,MV,82.56,scattered clouds,-0.6,73.0833,Scoop Guest House
120,Lillesand,NO,71.64,few clouds,58.2488,8.3778,Lillesand Hotel Norway
121,Kandrian,PG,78.04,overcast clouds,-6.2167,149.55,Kandrian Station
122,Quatre Cocos,MU,72.09,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
123,Forrest City,US,75.06,light rain,35.0081,-90.7898,Hampton Inn Forrest City
131,Scarborough,GB,76.64,few clouds,54.2797,-0.4044,Ambassador Roomzzz
132,Puerto Baquerizo Moreno,EC,71.04,light rain,-0.9,-89.6,Hotel los Algarrobos
133,Dumas,US,76.42,clear sky,35.8656,-101.9732,"Holiday Inn Express & Suites Dumas, an IHG Hotel"
136,Bathsheba,BB,84.81,broken clouds,13.2167,-59.5167,Atlantis Hotel
140,Basco,PH,84.45,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
141,Vila Franca Do Campo,PT,72.01,clear sky,37.7167,-25.4333,Pestana Bahia Praia
142,Acajutla,SV,84.79,overcast clouds,13.5928,-89.8275,asi es
143,Pangai,TO,77.05,few clouds,-19.8,-174.35,Ha'apai Beach Resort
145,Vuktyl,RU,73.47,clear sky,63.8567,57.3094,Mini-Hotel Lokomotiv
149,Murovani Kurylivtsi,UA,88.47,scattered clouds,48.7235,27.5189,Dnipro Hotelʹ Dnipropetrovsʹk
150,Bambous Virieux,MU,72.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
153,Belmonte,BR,81.1,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
154,Darnah,LY,80.51,clear sky,32.767,22.6367,فندق الفردوس
162,Touros,BR,83.3,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
164,Zambezi,ZM,80.91,clear sky,-13.5432,23.1047,Royal Kutachika Lodge
166,Coahuayana,MX,81.88,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
168,Kostroma,RU,85.71,clear sky,57.7708,40.9344,"Otel' ""Ostrovskiy Prichal"""
173,Kampot,KH,84.25,overcast clouds,10.6167,104.1833,Two Moons Hotel
174,Hendek,TR,88.12,clear sky,40.7994,30.7481,Hendek Ogretmenevi
177,Kruisfontein,ZA,76.89,clear sky,-34.0033,24.7314,Oyster Bay House Rental
180,Madisonville,US,77.23,overcast clouds,37.3281,-87.4989,Days Inn by Wyndham Madisonville
182,Circleville,US,76.55,overcast clouds,39.6006,-82.946,"Holiday Inn Express & Suites Circleville, an IHG Hotel"
183,Victoria,HK,84.38,light rain,22.2855,114.1577,Mini Hotel Central
184,Camargo,MX,78.12,broken clouds,27.6667,-105.1667,Hotel Santa Fe
186,Bollnas,SE,70.12,broken clouds,61.3482,16.3946,Grand Hotel
190,Salalah,OM,78.33,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
191,Kaohsiung,TW,84.04,light rain,22.6163,120.3133,御宿商旅-中山館
195,Naze,JP,79.21,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
197,Araceli,PH,81.57,moderate rain,10.5529,119.9913,JBryan Traveler's Inn
199,Katsuura,JP,82.11,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
200,Saint-Philippe,RE,71.19,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
201,San Cristobal,VE,80.78,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
202,Asfi,MA,84.56,clear sky,32.2994,-9.2372,Hôtel Abda
203,Upata,VE,80.4,broken clouds,8.0086,-62.3989,Posada Villa Nela
206,Zalaegerszeg,HU,81.75,overcast clouds,46.84,16.8439,Apartmanhotel Szent Kristóf
207,Vanimo,PG,77.92,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
208,Loandjili,CG,75.33,overcast clouds,-4.7561,11.8578,Résidence ARCHANGE
209,Ostrogozhsk,RU,88.83,scattered clouds,50.8664,39.0756,Zamok
211,Povenets,RU,78.13,clear sky,62.8487,34.8262,Eko Otel' Bol'shaya Medveditsa
212,Arraial Do Cabo,BR,75.06,few clouds,-22.9661,-42.0278,Pousada Porto Praia
216,Jabinyanah,TN,89.92,scattered clouds,35.035,10.9081,maison belmabrouk
220,Iskateley,RU,71.22,few clouds,67.6803,53.1512,Hostel Agat
221,Bassila,BJ,82.45,light rain,9.0081,1.6654,COMPLEXE MAKOYA ET FILS
222,Boueni,YT,78.78,clear sky,-12.9025,45.0761,The feet in water
225,Pocri,PA,78.62,overcast clouds,8.2667,-80.55,Residencial D Cache
227,Santander,ES,78.71,few clouds,43.4647,-3.8044,Abba Santander Hotel
228,Labuhan,ID,78.98,clear sky,-6.8844,112.2051,PT PPI Lamongan Tambak C
229,Acarau,BR,87.53,few clouds,-2.8856,-40.12,castelo pizzaria
234,Poplar Bluff,US,77.63,overcast clouds,36.757,-90.3929,Holiday Inn Poplar Bluff
235,Kinsale,IE,76.37,few clouds,51.7075,-8.5306,Actons Hotel Kinsale
237,Trairi,BR,87.82,overcast clouds,-3.2778,-39.2689,janelas do mar
241,Carutapera,BR,85.5,clear sky,-1.195,-46.02,Lidera
242,Ahuimanu,US,78.51,broken clouds,21.4447,-157.8378,Paradise Bay Resort
245,Vincennes,FR,85.32,clear sky,48.85,2.4333,Aparthotel Adagio Paris Vincennes
246,Jiuquan,CN,88.03,clear sky,39.7432,98.5174,Jiuquan Hotel
249,San Patricio,US,87.66,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
250,Skibbereen,IE,76.8,overcast clouds,51.55,-9.2667,The West Cork Hotel
254,Faanui,PF,79.18,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
255,Samarai,PG,79.43,overcast clouds,-10.6167,150.6667,Nuli Sapi
256,Lindi,TZ,77.4,overcast clouds,-10.0,39.7167,Lindi paradise house
257,Basar,IN,73.92,overcast clouds,27.9833,94.6667,UD & Housing Guest House
258,Kirakira,SB,78.73,overcast clouds,-10.4544,161.9205,SanBiz Lodge
259,Maragogi,BR,80.13,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
261,Dongsheng,CN,80.04,clear sky,39.8161,109.9776,Crowne Plaza Ordos
263,Shingu,JP,79.92,broken clouds,33.7333,135.9833,Shingu UI Hotel
266,Abrau-Dyurso,RU,85.48,clear sky,44.69,37.59,Avgustin Inn
267,Gravelbourg,CA,74.17,clear sky,49.8834,-106.5512,Historic Bishops Residence Bed & Breakfast
268,Biak,ID,76.19,overcast clouds,-0.9131,122.8766,Penginapan Kim
269,Jiangyou,CN,78.73,light rain,31.7667,104.7167,Shangping Shuyuan Inn
270,Damietta,EG,85.12,clear sky,31.4165,31.8133,SULIMAN INN
274,Le Port,RE,71.6,light rain,-20.9373,55.2919,KORBEY D'OR OUEST
277,Tayu,ID,80.01,few clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
280,Peniche,PT,78.28,broken clouds,39.3558,-9.3811,Hotel Star inn Peniche
281,Dengzhou,CN,75.33,clear sky,37.8086,120.7508,Greentree Inn Penglai Free Harbor Business Hotel
283,Boa Esperanca,BR,77.56,few clouds,-21.09,-45.5658,Hotel do Lago
286,Bethel,US,77.47,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
287,Loviisa,FI,78.46,clear sky,60.4566,26.2251,Loviisa Camping
289,Midland,US,80.47,scattered clouds,31.9974,-102.0779,DoubleTree by Hilton Hotel Midland Plaza
291,Zonguldak,TR,83.25,few clouds,41.25,31.8333,Süleyman Tez Ev
297,Camacha,PT,77.76,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
299,Sitniki,RU,87.78,few clouds,56.4553,44.0666,Linda
304,Mathathane,BW,70.25,clear sky,-22.2687,28.7495,Selepswe Resort
305,Zhaoqing,CN,79.07,overcast clouds,23.0512,112.4597,七星岩旅游度假区
309,Narasannapeta,IN,83.66,scattered clouds,18.4167,84.05,G.lingaraju home
312,Talaja,IN,86.31,overcast clouds,21.35,72.05,Velvettas Resorts
313,Canyon,US,72.66,overcast clouds,34.9803,-101.9188,"Holiday Inn Express & Suites Canyon, an IHG Hotel"
316,Neiafu,TO,77.68,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
318,Mahebourg,MU,73.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
319,Sioux Lookout,CA,78.78,scattered clouds,50.1001,-91.917,Knobby's Fly-In Camps
320,Kut Chap,TH,85.64,moderate rain,17.4257,102.5669,ผึ้งหลวง รีสอร์ต
321,Mucurapo,TT,87.03,clear sky,10.6667,-61.5333,Courtyard by Marriott Port of Spain
322,Iralaya,HN,78.89,overcast clouds,15.0,-83.2333,Iglesia morava renovada
323,The Valley,AI,86.14,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
327,Mitsamiouli,KM,77.23,light rain,-11.3847,43.2844,Foyer ADM
331,Gombe,NG,81.46,overcast clouds,10.2897,11.1673,Shinani Lodge
332,Kailua,US,78.78,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
333,Nishihara,JP,83.48,few clouds,26.1842,127.7558,Minshuku Agaihama
335,Saint-Georges,GD,82.71,clear sky,12.0564,-61.7485,Radisson Grenada Beach Resort
336,Cabo San Lucas,MX,83.52,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
339,Soligalich,RU,80.62,clear sky,59.0778,42.2864,Kurort Im. A.p. Borodina
340,Goderich,CA,74.03,scattered clouds,43.7501,-81.7165,Harmony Inn
341,Mazsalaca,LV,84.25,clear sky,57.8633,25.0547,"Viesnīca ''Miks"""
344,Nurmijarvi,FI,80.51,few clouds,60.4641,24.8073,Taavi Vartia Tuotannot
347,Praia,CV,84.74,clear sky,14.9215,-23.5087,LT Aparthotel
350,Freital,DE,80.69,scattered clouds,51.0017,13.6488,Hotel Heidenschanze Dresden
351,Kavaratti,IN,82.29,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
353,Baturaja,ID,76.59,broken clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
358,Buala,SB,80.4,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
362,Rabo De Peixe,PT,71.11,scattered clouds,37.8,-25.5833,Quinta das Giestas
363,Fuling,CN,78.8,heavy intensity rain,29.7022,107.3919,Yingbin Hostel
364,Westport,US,78.75,overcast clouds,41.1415,-73.3579,The Westport Inn
368,Nyurba,RU,70.47,overcast clouds,63.2842,118.3319,Gostinitsa Alrosa
372,Makokou,GA,88.7,broken clouds,0.5738,12.8642,WAMY RESIDENCE HOTEL
374,Isangel,VU,75.54,broken clouds,-19.55,169.2667,Tanna Lodge
376,Chapais,CA,75.45,clear sky,49.7834,-74.8492,Hôtel Opémiska
378,Vung Tau,VN,79.92,moderate rain,10.346,107.0843,Green hotel
