City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kautokeino,NO,69.0125,23.0412,52.0,74,100,15.66,light rain
1,Bolobo,CD,-2.1667,16.2333,97.14,21,14,3.51,few clouds
2,Cape Town,ZA,-33.9258,18.4232,77.41,26,0,18.41,clear sky
3,Hobart,AU,-42.8794,147.3294,50.92,81,75,1.99,broken clouds
4,Nikolskoye,RU,59.7035,30.7861,82.29,27,7,9.17,clear sky
5,Jamestown,US,42.097,-79.2353,70.18,86,94,7.0,overcast clouds
6,Avarua,CK,-21.2078,-159.775,75.25,83,20,9.22,few clouds
7,Atuona,PF,-9.8,-139.0333,77.32,75,23,28.74,few clouds
8,Klaksvik,FO,62.2266,-6.589,52.72,85,10,4.52,clear sky
9,Saint George,US,37.1041,-113.5841,85.35,47,1,4.61,clear sky
10,Mataura,NZ,-46.1927,168.8643,42.46,97,84,4.14,broken clouds
11,Chokurdakh,RU,70.6333,147.9167,40.91,75,76,9.08,broken clouds
12,Lebu,CL,-37.6167,-73.65,49.24,63,0,14.05,clear sky
13,Dikson,RU,73.5069,80.5464,35.89,85,21,11.3,few clouds
14,Codrington,AU,-38.2667,141.9667,46.89,95,100,8.63,overcast clouds
15,Khatanga,RU,71.9667,102.5,63.46,69,100,7.43,overcast clouds
16,Constitucion,CL,-35.3333,-72.4167,50.18,47,0,5.79,clear sky
17,Carangola,BR,-20.7331,-42.0294,84.65,37,0,4.85,clear sky
18,Yermakovskoye,RU,53.2831,92.4003,64.51,74,92,5.1,overcast clouds
19,Paris,FR,48.8534,2.3488,85.55,47,0,8.01,clear sky
20,Qaanaaq,GL,77.484,-69.3632,35.8,87,100,6.44,overcast clouds
21,Trincomalee,LK,8.5711,81.2335,83.3,73,95,11.27,overcast clouds
22,Pevek,RU,69.7008,170.3133,36.23,84,100,3.04,overcast clouds
23,Dovers,VC,12.8833,-61.1833,81.57,81,0,17.98,clear sky
24,Derzhavinsk,KZ,51.1,66.3167,79.77,38,1,7.09,clear sky
25,Tibati,CM,6.4667,12.6333,73.71,89,100,5.53,moderate rain
26,Punta Arenas,CL,-53.15,-70.9167,39.11,80,100,6.73,light rain
27,Cherskiy,RU,68.75,161.3,45.73,61,100,4.65,overcast clouds
28,Rikitea,PF,-23.1203,-134.9692,71.06,65,100,27.4,overcast clouds
29,Ponta Do Sol,PT,32.6667,-17.1,84.7,71,1,2.55,clear sky
30,Port Alfred,ZA,-33.5906,26.891,69.42,48,46,16.37,scattered clouds
31,Vychegodskiy,RU,61.247,46.8984,79.0,35,3,2.59,clear sky
32,Pangnirtung,CA,66.1451,-65.7125,53.58,68,100,3.47,overcast clouds
33,Puerto Ayora,EC,-0.7393,-90.3518,70.56,97,98,10.0,light rain
34,Carnarvon,AU,-24.8667,113.6333,67.33,49,90,9.15,overcast clouds
35,Yulara,AU,-25.2406,130.9889,56.5,45,0,6.15,clear sky
36,Murgab,TM,37.4966,61.9714,101.62,10,0,12.41,clear sky
37,Willowmore,ZA,-33.2926,23.4895,67.15,18,0,12.28,clear sky
38,Vaini,TO,-21.2,-175.2,73.56,94,20,5.75,few clouds
39,Torbay,CA,47.6666,-52.7314,75.88,68,47,10.69,scattered clouds
40,Miles City,US,46.4083,-105.8406,70.77,52,1,8.05,clear sky
41,Hilo,US,19.7297,-155.09,73.26,95,90,5.03,moderate rain
42,Bredasdorp,ZA,-34.5322,20.0403,67.28,59,3,2.98,clear sky
43,Rocha,UY,-34.4833,-54.3333,45.77,90,78,28.83,light rain
44,Tilichiki,RU,60.4667,166.1,49.95,91,100,0.2,overcast clouds
45,Port Elizabeth,ZA,-33.918,25.5701,79.11,36,0,9.22,clear sky
46,Bluff,NZ,-46.6,168.3333,45.45,87,93,10.6,overcast clouds
